NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,NAME_ENGL,NAME_FREN,ISO3_CODE,SVRG_UN,CAPT,EU_STAT,EFTA_STAT,CC_STAT,NAME_GERM,geo,geo_level,TIME_PERIOD,unit,gdp_pc_index,obs_flag,conf_status,is_eu,sample_group,log_gdp_pc_index,gdp_map_class
DE27,2,DE,Schwaben,Schwaben,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE27,NUTS 2,2023,PPS_HAB_EU27_2020,112,p,,True,EU27,4.718498871295094,100-124
DE30,2,DE,Berlin,Berlin,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE30,NUTS 2,2023,PPS_HAB_EU27_2020,127,p,,True,EU27,4.844187086458591,125-149
DE40,2,DE,Brandenburg,Brandenburg,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE40,NUTS 2,2023,PPS_HAB_EU27_2020,87,p,,True,EU27,4.465908118654584,75-99
DE50,2,DE,Bremen,Bremen,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE50,NUTS 2,2023,PPS_HAB_EU27_2020,135,p,,True,EU27,4.90527477843843,125-149
DE60,2,DE,Hamburg,Hamburg,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE60,NUTS 2,2023,PPS_HAB_EU27_2020,195,p,,True,EU27,5.272999558563747,150+
DE71,2,DE,Darmstadt,Darmstadt,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE71,NUTS 2,2023,PPS_HAB_EU27_2020,149,p,,True,EU27,5.003946305945459,125-149
DE72,2,DE,Gießen,Gießen,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE72,NUTS 2,2023,PPS_HAB_EU27_2020,101,p,,True,EU27,4.61512051684126,100-124
DE73,2,DE,Kassel,Kassel,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE73,NUTS 2,2023,PPS_HAB_EU27_2020,109,p,,True,EU27,4.6913478822291435,100-124
DE80,2,DE,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE80,NUTS 2,2023,PPS_HAB_EU27_2020,87,p,,True,EU27,4.465908118654584,75-99
DE91,2,DE,Braunschweig,Braunschweig,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE91,NUTS 2,2023,PPS_HAB_EU27_2020,130,p,,True,EU27,4.867534450455582,125-149
DE92,2,DE,Hannover,Hannover,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE92,NUTS 2,2023,PPS_HAB_EU27_2020,112,p,,True,EU27,4.718498871295094,100-124
DE93,2,DE,Lüneburg,Lüneburg,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE93,NUTS 2,2023,PPS_HAB_EU27_2020,85,p,,True,EU27,4.442651256490317,75-99
DE94,2,DE,Weser-Ems,Weser-Ems,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DE94,NUTS 2,2023,PPS_HAB_EU27_2020,106,p,,True,EU27,4.663439094112067,100-124
DEA1,2,DE,Düsseldorf,Düsseldorf,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEA1,NUTS 2,2023,PPS_HAB_EU27_2020,118,p,,True,EU27,4.770684624465665,100-124
