geo,geo_level,TIME_PERIOD,unit,gdp_pc_index,obs_flag,conf_status
DK01,NUTS 2,2023,PPS_HAB_EU27_2020,170,,
DK02,NUTS 2,2023,PPS_HAB_EU27_2020,89,,
DK03,NUTS 2,2023,PPS_HAB_EU27_2020,109,,
DK04,NUTS 2,2023,PPS_HAB_EU27_2020,109,,
DK05,NUTS 2,2023,PPS_HAB_EU27_2020,100,,
EE00,NUTS 2,2023,PPS_HAB_EU27_2020,80,,
EL30,NUTS 2,2023,PPS_HAB_EU27_2020,96,p,
EL41,NUTS 2,2023,PPS_HAB_EU27_2020,42,p,
EL42,NUTS 2,2023,PPS_HAB_EU27_2020,69,p,
EL43,NUTS 2,2023,PPS_HAB_EU27_2020,59,p,
EL51,NUTS 2,2023,PPS_HAB_EU27_2020,44,p,
EL52,NUTS 2,2023,PPS_HAB_EU27_2020,55,p,
EL53,NUTS 2,2023,PPS_HAB_EU27_2020,50,p,
EL54,NUTS 2,2023,PPS_HAB_EU27_2020,44,p,
EL61,NUTS 2,2023,PPS_HAB_EU27_2020,52,p,
EL62,NUTS 2,2023,PPS_HAB_EU27_2020,63,p,
EL63,NUTS 2,2023,PPS_HAB_EU27_2020,49,p,
EL64,NUTS 2,2023,PPS_HAB_EU27_2020,59,p,
EL65,NUTS 2,2023,PPS_HAB_EU27_2020,57,p,
ES11,NUTS 2,2023,PPS_HAB_EU27_2020,84,p,
ES12,NUTS 2,2023,PPS_HAB_EU27_2020,82,p,
ES13,NUTS 2,2023,PPS_HAB_EU27_2020,83,p,
ES21,NUTS 2,2023,PPS_HAB_EU27_2020,114,p,
ES22,NUTS 2,2023,PPS_HAB_EU27_2020,108,p,
ES23,NUTS 2,2023,PPS_HAB_EU27_2020,95,p,
ES24,NUTS 2,2023,PPS_HAB_EU27_2020,102,p,
ES30,NUTS 2,2023,PPS_HAB_EU27_2020,125,p,
ES41,NUTS 2,2023,PPS_HAB_EU27_2020,86,p,
ES42,NUTS 2,2023,PPS_HAB_EU27_2020,73,p,
ES43,NUTS 2,2023,PPS_HAB_EU27_2020,70,p,
ES51,NUTS 2,2023,PPS_HAB_EU27_2020,104,p,
ES52,NUTS 2,2023,PPS_HAB_EU27_2020,78,p,
ES53,NUTS 2,2023,PPS_HAB_EU27_2020,99,p,
ES61,NUTS 2,2023,PPS_HAB_EU27_2020,68,p,
ES62,NUTS 2,2023,PPS_HAB_EU27_2020,75,p,
ES63,NUTS 2,2023,PPS_HAB_EU27_2020,66,p,
ES64,NUTS 2,2023,PPS_HAB_EU27_2020,60,p,
ES70,NUTS 2,2023,PPS_HAB_EU27_2020,71,p,
FI19,NUTS 2,2023,PPS_HAB_EU27_2020,94,,
FI1B,NUTS 2,2023,PPS_HAB_EU27_2020,131,,
FI1C,NUTS 2,2023,PPS_HAB_EU27_2020,89,,
FI1D,NUTS 2,2023,PPS_HAB_EU27_2020,88,,
FI20,NUTS 2,2023,PPS_HAB_EU27_2020,114,,
FR10,NUTS 2,2023,PPS_HAB_EU27_2020,160,p,
FRB0,NUTS 2,2023,PPS_HAB_EU27_2020,83,p,
FRC1,NUTS 2,2023,PPS_HAB_EU27_2020,83,p,
FRC2,NUTS 2,2023,PPS_HAB_EU27_2020,75,p,
FRD1,NUTS 2,2023,PPS_HAB_EU27_2020,81,p,
FRD2,NUTS 2,2023,PPS_HAB_EU27_2020,84,p,
FRE1,NUTS 2,2023,PPS_HAB_EU27_2020,78,p,
FRE2,NUTS 2,2023,PPS_HAB_EU27_2020,74,p,
FRF1,NUTS 2,2023,PPS_HAB_EU27_2020,91,p,
