NUTS_ID,CNTR_CODE,NAME_LATN,NAME_ENGL,EU_STAT,CC_STAT,is_eu,sample_group,TIME_PERIOD,unit,gdp_pc_index,log_gdp_pc_index,obs_flag,conf_status,gdp_map_class,queen_degree,is_queen_island,z_log_gdp,spatial_lag,local_moran_i,local_perm_mean,local_p_two_sided,local_q_bh,local_p_holm,lisa_quadrant,lisa_fdr_cluster,lisa_holm_cluster
DE71,DE,Darmstadt,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,149,5.003946305945459,p,,125-149,6,False,1.4224767396257187,0.6615105048208537,0.9409833061257313,-0.010540161171342436,0.09713,0.27897000000000005,1.0,High-High,Not significant,Not significant
DE72,DE,Gießen,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,101,4.61512051684126,p,,100-124,4,False,0.45503810290563124,0.7129880112134738,0.32443671201703805,-0.0018282195234799543,0.15007,0.3565277777777777,1.0,High-High,Not significant,Not significant
DE73,DE,Kassel,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,109,4.6913478822291435,p,,100-124,7,False,0.6446996441874406,0.6930288900822019,0.4467954788476125,-0.0030830285306611355,0.06196,0.21916027397260276,1.0,High-High,Not significant,Not significant
DE80,DE,Mecklenburg-Vorpommern,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,87,4.465908118654584,p,,75-99,4,False,0.08378227798716627,-0.07022519430385032,-0.005883626750867953,-0.00022123717313467188,0.89052,0.9541285714285713,1.0,High-Low,Not significant,Not significant
DE91,DE,Braunschweig,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,130,4.867534450455582,p,,125-149,6,False,1.083069984195157,0.3378377462541395,0.3659019224959983,-0.0066399097293442155,0.39291,0.6588166666666666,1.0,High-High,Not significant,Not significant
DE92,DE,Hannover,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,112,4.718498871295094,p,,100-124,5,False,0.7122541032372909,0.6965971922859452,0.4961542085092406,-0.0035159617554136693,0.11427,0.290225,1.0,High-High,Not significant,Not significant
DE93,DE,Lüneburg,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,85,4.442651256490317,p,,75-99,9,False,0.02591680800786937,0.684628583375847,0.017743387552051414,-4.281866544522696e-05,0.03629,0.16047413793103446,1.0,High-High,Not significant,Not significant
DE94,DE,Weser-Ems,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,106,4.663439094112067,p,,100-124,8,False,0.5752597029975863,0.5921615320920237,0.34064666707785324,-0.0022375498337065553,0.08821,0.26661,1.0,High-High,Not significant,Not significant
DEA1,DE,Düsseldorf,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,118,4.770684624465665,p,,100-124,5,False,0.84209763552938,0.5961625975653054,0.502027113800797,-0.0046435486285211,0.17397,0.3873190677966102,1.0,High-High,Not significant,Not significant
DEA2,DE,Köln,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,120,4.787491742782046,p,,100-124,6,False,0.8839154780872335,0.4205813418809732,0.3717583578832906,-0.004599758686057849,0.29282,0.5333507142857142,1.0,High-High,Not significant,Not significant
DEA3,DE,Münster,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,97,4.574710978503383,p,,75-99,6,False,0.35449500680557505,0.6415136594839546,0.22741338908463382,-0.001157865359429972,0.11122,0.290225,1.0,High-High,Not significant,Not significant
